prime,cutoff,prefix_mean_exact,sample_prefix_standard_deviation_exact
2,50,4.4275393495393498,1.1331725844490292
2,250,4.488798002402163,0.62978602838350672
2,500,4.4861965505213224,0.48079499548006099
2,1000,4.4907572586349609,0.36571435513836997
2,2000,4.4944281986802661,0.27515012238177278
2,4000,4.4939602653653488,0.20646928980102169
2,8000,4.4990335896164737,0.15422948432249264
3,50,4.6978445282339143,1.0543498730597314
3,250,4.5009597840504671,0.57817177262349218
3,500,4.4951082132032907,0.43473511462874598
3,1000,4.4994918180982078,0.3275815379357358
3,2000,4.4995441836641623,0.24522982985746136
3,4000,4.4985935580866006,0.18170208433282928
3,8000,4.4992469282711332,0.13412307202515272
5,50,4.2081818248969958,0.64722210251079249
5,250,4.3947066898568385,0.42577459887109809
5,500,4.436095010797418,0.33105041152928133
5,1000,4.4556257646635968,0.2492019824656154
5,2000,4.4737151474299894,0.188694487072915
5,4000,4.4846394510147274,0.14141056666588031
5,8000,4.4921483701273059,0.10517323998160412
7,50,4.3895844866100191,0.79701755409838049
7,250,4.4134541928225266,0.430977091206451
7,500,4.4388700082957007,0.32547905729224891
7,1000,4.4617262492094953,0.24527628461607662
7,2000,4.4790059437780192,0.18453300019225677
7,4000,4.4891520448047331,0.137408940704667
7,8000,4.4942474275230895,0.10153902686845576
11,50,4.100074821797743,0.89426815323289766
11,250,4.4152074074122956,0.48789259180029171
11,500,4.4523290359842562,0.35945766568595289
11,1000,4.47289226077549,0.26566639716939461
11,2000,4.4837018203047334,0.19477870287427643
11,4000,4.4909397024554414,0.14322716950867231
11,8000,4.4951661871397457,0.10473318432698658
13,50,4.402453005250436,0.64180053374684354
13,250,4.5035907148632486,0.35513580765515718
13,500,4.5085585106893422,0.26973436801872941
13,1000,4.5023982376995102,0.20447986669213264
13,2000,4.5013759475403994,0.15268284924005282
13,4000,4.5000641112838284,0.11400574570958137
13,8000,4.499605758463737,0.084473990192053899
17,50,4.5543575572287036,0.56169776738451038
17,250,4.5008917952660017,0.31873439977857282
17,500,4.5032553538202151,0.24463282001640957
17,1000,4.5007279291777085,0.18547811950899909
17,2000,4.499197772636756,0.1391276495200521
17,4000,4.4988229232764896,0.10417550163706044
17,8000,4.4993293351285848,0.077488640366596626
19,50,4.4681908504727925,0.85442462829252552
19,250,4.4794745294188898,0.43164029740741938
19,500,4.4863867508363429,0.31903816289583198
19,1000,4.4962738110652891,0.23553141977642028
19,2000,4.4962426797037844,0.1726313138438379
19,4000,4.4977521638816711,0.12667758653968283
19,8000,4.4987102548452516,0.092732233678515463
23,50,4.41067465851987,0.60768631539785789
23,250,4.4812550134201317,0.33960774711306096
23,500,4.4931821048084277,0.25441655980769934
23,1000,4.498808794815778,0.19066123177105795
23,2000,4.5007198502940744,0.1421922956161166
23,4000,4.5003848672497435,0.10542559678162833
23,8000,4.4999218635048548,0.077980491244528521
29,50,4.3547445526252453,0.64446994114906808
29,250,4.4581946737501337,0.3557019934438112
29,500,4.4694094399165412,0.26594019056128154
29,1000,4.4823254976293381,0.19872056422357873
29,2000,4.4916450970675665,0.14723634176210379
29,4000,4.4955273737925712,0.10872393761639469
29,8000,4.4979844732093559,0.080076108613451449
31,50,4.3907112233769583,0.68655171563827877
31,250,4.4678231487857243,0.35815096453837569
31,500,4.4789411888187916,0.26878406027320262
31,1000,4.48536866263421,0.19981283528370966
31,2000,4.4921700572278898,0.14762668159923503
31,4000,4.4948963013347107,0.10926177453236054
31,8000,4.4969963346146349,0.08029441356711596
37,50,4.4456424245768744,0.51876939309498071
37,250,4.4920259730601568,0.29354402042088373
37,500,4.4996158451427224,0.22426189112471928
37,1000,4.4962158798613032,0.1690386389750356
37,2000,4.497312420464624,0.12629795083637774
37,4000,4.4977643511624716,0.094225131433074594
37,8000,4.4991122565597097,0.07008849680662757
41,50,4.2482233895408674,0.60742980878189945
41,250,4.43970086184801,0.3408366011234551
41,500,4.4626655738147525,0.25663828710009917
41,1000,4.4780874809374991,0.19101420812170025
41,2000,4.4870623689559483,0.14150646290677399
41,4000,4.492342007814667,0.10451051455743993
41,8000,4.4957737701215192,0.076952118011122811
43,50,4.3941528805066294,0.55360009205562621
43,250,4.4660141008986534,0.29523259263301133
43,500,4.4792176298434239,0.22353248168172352
43,1000,4.4923431551893289,0.16840181021813638
43,2000,4.4955038432068752,0.12649947560438676
43,4000,4.4975774880865318,0.094141685295329194
43,8000,4.4983336466465937,0.069830544124229191
47,50,4.3430119782552223,0.61933257344519443
47,250,4.4685954661674243,0.32894300173191343
47,500,4.4820131515431854,0.2469758755594586
47,1000,4.4888088767506913,0.18413762977306442
47,2000,4.4961679886101065,0.13661014001001945
47,4000,4.4983176891787835,0.10109886783823618
47,8000,4.4992349242888983,0.074286788357183664
53,50,4.543308839882422,0.43892072974952978
53,250,4.5073288908635032,0.26258497722770241
53,500,4.5029669180390366,0.20250570256070699
53,1000,4.4983679578209328,0.15346665920400196
53,2000,4.4989596097364313,0.11586012742879408
53,4000,4.4996774721949881,0.086897137221342874
53,8000,4.4998223957880104,0.064730352413770495
59,50,4.5470653414278503,0.70793091137057396
59,250,4.4989633574972547,0.35379212931488246
59,500,4.5005174500445149,0.26434170185997607
59,1000,4.5003505543031901,0.19583422163597036
59,2000,4.501183184802767,0.14419136025024712
59,4000,4.4998325972521345,0.10581662759489058
